score,osd_id,organism,project_type,material,factors,n_samples,n_groups,n_contrasts,groups,assay,title,dge_url
2,OSD-323,Homo sapiens,Spaceflight Study,Cells,Spaceflight     Infection,7,4,6,Ground Control & Infected with Salmonella Typhimurium | Ground Control & uninfected | Space Flight & Infected with Salmonella Typhimurium | Space Flight & uninfected,RNA Sequencing (RNA-Seq),Evaluating the effect of spaceflight on the host-pathogen interaction between human intestinal epithelial cells and Salmonella Typhimurium,https://osdr.nasa.gov/geode-py/ws/studies/OSD-323/download?source=datamanager&file=GLDS-323_rna_seq_differential_expression_GLbulkRNAseq.csv
2,OSD-346,Arabidopsis thaliana,Spaceflight Study,,Genotype     Spaceflight     Altered Gravity     Treatment,37,0,47,,RNA Sequencing (RNA-Seq),"RNAseq analysis of the response of Arabidopsis thaliana phytochrome mutants (PhyA, PhyB) to fractional gravity under blue-light stimulation during spaceflight",https://osdr.nasa.gov/geode-py/ws/studies/OSD-346/download?source=datamanager&file=GLDS-346_rna_seq_differential_expression_GLbulkRNAseq.csv
2,OSD-379,Mus musculus,Spaceflight Study,Left Lobe of the Liver,Spaceflight     Duration     Euthanasia Location     Dissection Condition     Age,141,0,56,,RNA Sequencing (RNA-Seq),Transcriptional profiling of livers from mice flown on Rodent Research Reference Mission-1 (RRRM-1),https://osdr.nasa.gov/geode-py/ws/studies/OSD-379/download?source=datamanager&file=GLDS-379_rna_seq_differential_expression_GLbulkRNAseq.csv
2,OSD-425,Caenorhabditis elegans,Spaceflight Study,Whole Organism,Spaceflight     Genotype     Generation     Altered Gravity,51,0,64,,DNA microarray,The effect of microgravity on the epigenetic modification in C. elegans - JAXA EPIGENETICS spaceflight experiment,https://osdr.nasa.gov/geode-py/ws/studies/OSD-425/download?source=datamanager&file=GLDS-425_array_differential_expression_GLmicroarray.csv
2,OSD-426,Mus musculus,Spaceflight Study,Cells,Spaceflight     Altered Gravity     Treatment,18,6,15,Ground Control & 1G on Earth & with nanoceria | Ground Control & 1G on Earth & without nanoceria | Space Flight & 1G by centrifugation & with nanoceria | Space Flight & 1G by centrifugation & without nanoceria | Space Flight & uG & with nanoceria | Space Flight & uG & without nanoceria,RNA Sequencing (RNA-Seq)     miRNA Sequencing,Cerium oxide nanoparticle administration to skeletal muscle cells under different gravity and radiation conditions,https://osdr.nasa.gov/geode-py/ws/studies/OSD-426/download?source=datamanager&file=GLDS-426_rna_seq_differential_expression_GLbulkRNAseq.csv
2,OSD-427,Arabidopsis thaliana,Spaceflight Study,leaf | root,Spaceflight     Genotype     Organism part,50,12,66,elp2-5 & Ground control & leaf | elp2-5 & Ground control & root | elp2-5 & Space Flight & leaf | elp2-5 & Space Flight & root | met1-7 & Ground control & leaf | met1-7 & Ground control & root | met1-7 & Space Flight & leaf | met1-7 & Space Flight & root | Wild Type & Ground control & leaf | Wild Type & Ground control & root | Wild Type & Space Flight & leaf | Wild Type & Space Flight & root,RNA Sequencing (RNA-Seq),Characterizing Epigenetic Changes in Methylation Mutants (elp2-5 and met1-7) in Response to Spaceflight. [RNA-Seq],https://osdr.nasa.gov/geode-py/ws/studies/OSD-427/download?source=datamanager&file=GLDS-427_rna_seq_differential_expression.csv
2,OSD-431,Homo sapiens,Spaceflight Study,Cells,Spaceflight     Altered Gravity,8,3,3,Ground Control & 1G on Earth | Space Flight & 1G by centrifugation | Space Flight & uG,RNA Sequencing (RNA-Seq),Microgravity and space radiation exert either opposite or synergic effects on single molecular pathways,https://osdr.nasa.gov/geode-py/ws/studies/OSD-431/download?source=datamanager&file=GLDS-431_rna_seq_differential_expression_GLbulkRNAseq.csv
2,OSD-437,Arabidopsis thaliana,Spaceflight Study,,Age     Altered Gravity     Spaceflight,20,5,10,4 day & 1G by centrifugation & Space Flight | 4 day & uG & Space Flight | 6 day & 1G by centrifugation & Space Flight | 6 day & 1G on Earth & Ground Control | 6 day & uG & Space Flight,RNA Sequencing (RNA-Seq),Transcriptional and Post transcriptional Regulation of Seedling Development in Microgravity,https://osdr.nasa.gov/geode-py/ws/studies/OSD-437/download?source=datamanager&file=GLDS-437_rna_seq_differential_expression_GLbulkRNAseq.csv
2,OSD-511,Mus musculus,Spaceflight Study,mammary gland,Spaceflight     Age,43,6,15,10 to 12 week & Ground Control | 10 to 12 week & Space Flight | 10 to 12 week & Vivarium Control | 32 week & Ground Control | 32 week & Space Flight | 32 week & Vivarium Control,RNA Sequencing (RNA-Seq),Transcriptional profiling of mammary glands from mice flown on the RRRM-1 mission,https://osdr.nasa.gov/geode-py/ws/studies/OSD-511/download?source=datamanager&file=GLDS-511_rna_seq_differential_expression_GLbulkRNAseq.csv
2,OSD-514,Drosophila melanogaster,Spaceflight Study,head,Sex     Spaceflight     Altered Gravity,24,6,15,AGC & F | AGC & M | s_1g & F | s_1g & M | ug & F | ug & M,RNA Sequencing (RNA-Seq)     mass spectrometry,Artificial gravity partially protects space-induced neurological deficits in Drosophila melanogaster,https://osdr.nasa.gov/geode-py/ws/studies/OSD-514/download?source=datamanager&file=GLDS-514_rna-seq_differential_expression.csv
